prompt,classname,classidx
a photo of a pajamas.,pajamas,697
a photo of a palace.,palace,698
a photo of a pan flute.,pan flute,699
a photo of a paper towel.,paper towel,700
a photo of a parachute.,parachute,701
a photo of a parallel bars.,parallel bars,702
a photo of a park bench.,park bench,703
a photo of a parking meter.,parking meter,704
a photo of a railroad car.,railroad car,705
a photo of a patio.,patio,706
a photo of a payphone.,payphone,707
a photo of a pedestal.,pedestal,708
a photo of a pencil case.,pencil case,709
a photo of a pencil sharpener.,pencil sharpener,710
a photo of a perfume.,perfume,711
a photo of a Petri dish.,Petri dish,712
a photo of a photocopier.,photocopier,713
a photo of a plectrum.,plectrum,714
a photo of a Pickelhaube.,Pickelhaube,715
a photo of a picket fence.,picket fence,716
a photo of a pickup truck.,pickup truck,717
a photo of a pier.,pier,718
a photo of a piggy bank.,piggy bank,719
a photo of a pill bottle.,pill bottle,720
a photo of a pillow.,pillow,721
a photo of a ping-pong ball.,ping-pong ball,722
a photo of a pinwheel.,pinwheel,723
a photo of a pirate ship.,pirate ship,724
a photo of a drink pitcher.,drink pitcher,725
a photo of a block plane.,block plane,726
a photo of a planetarium.,planetarium,727
a photo of a plastic bag.,plastic bag,728
a photo of a plate rack.,plate rack,729
a photo of a farm plow.,farm plow,730
a photo of a plunger.,plunger,731
a photo of a Polaroid camera.,Polaroid camera,732
a photo of a pole.,pole,733
a photo of a police van.,police van,734
a photo of a poncho.,poncho,735
a photo of a pool table.,pool table,736
a photo of a soda bottle.,soda bottle,737
a photo of a plant pot.,plant pot,738
a photo of a potter's wheel.,potter's wheel,739
a photo of a power drill.,power drill,740
a photo of a prayer rug.,prayer rug,741
a photo of a printer.,printer,742
a photo of a prison.,prison,743
a photo of a missile.,missile,744
a photo of a projector.,projector,745
a photo of a hockey puck.,hockey puck,746
a photo of a punching bag.,punching bag,747
a photo of a purse.,purse,748
a photo of a quill.,quill,749
a photo of a quilt.,quilt,750
a photo of a race car.,race car,751
a photo of a racket.,racket,752
a photo of a radiator.,radiator,753
a photo of a radio.,radio,754
a photo of a radio telescope.,radio telescope,755
a photo of a rain barrel.,rain barrel,756
a photo of a recreational vehicle.,recreational vehicle,757
a photo of a fishing casting reel.,fishing casting reel,758
a photo of a reflex camera.,reflex camera,759
a photo of a refrigerator.,refrigerator,760
a photo of a remote control.,remote control,761
a photo of a restaurant.,restaurant,762
a photo of a revolver.,revolver,763
a photo of a rifle.,rifle,764
a photo of a rocking chair.,rocking chair,765
a photo of a rotisserie.,rotisserie,766
a photo of a eraser.,eraser,767
a photo of a rugby ball.,rugby ball,768
a photo of a ruler measuring stick.,ruler measuring stick,769
a photo of a sneaker.,sneaker,770
a photo of a safe.,safe,771
a photo of a safety pin.,safety pin,772
a photo of a salt shaker.,salt shaker,773
a photo of a sandal.,sandal,774
a photo of a sarong.,sarong,775
a photo of a saxophone.,saxophone,776
a photo of a scabbard.,scabbard,777
a photo of a weighing scale.,weighing scale,778
a photo of a school bus.,school bus,779
a photo of a schooner.,schooner,780
a photo of a scoreboard.,scoreboard,781
a photo of a CRT monitor.,CRT monitor,782
a photo of a screw.,screw,783
a photo of a screwdriver.,screwdriver,784
a photo of a seat belt.,seat belt,785
a photo of a sewing machine.,sewing machine,786
a photo of a shield.,shield,787
a photo of a shoe store.,shoe store,788
a photo of a shoji screen / room divider.,shoji screen / room divider,789
a photo of a shopping basket.,shopping basket,790
a photo of a shopping cart.,shopping cart,791
a photo of a shovel.,shovel,792
a photo of a shower cap.,shower cap,793
a photo of a shower curtain.,shower curtain,794
a photo of a ski.,ski,795
a photo of a balaclava ski mask.,balaclava ski mask,796
a photo of a sleeping bag.,sleeping bag,797
a photo of a slide rule.,slide rule,798
a photo of a sliding door.,sliding door,799
a photo of a slot machine.,slot machine,800
a photo of a snorkel.,snorkel,801
a photo of a snowmobile.,snowmobile,802
a photo of a snowplow.,snowplow,803
a photo of a soap dispenser.,soap dispenser,804
a photo of a soccer ball.,soccer ball,805
a photo of a sock.,sock,806
a photo of a solar thermal collector.,solar thermal collector,807
a photo of a sombrero.,sombrero,808
a photo of a soup bowl.,soup bowl,809
a photo of a keyboard space bar.,keyboard space bar,810
a photo of a space heater.,space heater,811
a photo of a space shuttle.,space shuttle,812
a photo of a spatula.,spatula,813
a photo of a motorboat.,motorboat,814
a photo of a spider web.,spider web,815
a photo of a spindle.,spindle,816
a photo of a sports car.,sports car,817
a photo of a spotlight.,spotlight,818
a photo of a stage.,stage,819
a photo of a steam locomotive.,steam locomotive,820
a photo of a through arch bridge.,through arch bridge,821
a photo of a steel drum.,steel drum,822
a photo of a stethoscope.,stethoscope,823
a photo of a scarf.,scarf,824
a photo of a stone wall.,stone wall,825
a photo of a stopwatch.,stopwatch,826
a photo of a stove.,stove,827
a photo of a strainer.,strainer,828
a photo of a tram.,tram,829
a photo of a stretcher.,stretcher,830
a photo of a couch.,couch,831
a photo of a stupa.,stupa,832
a photo of a submarine.,submarine,833
a photo of a suit.,suit,834
a photo of a sundial.,sundial,835
a photo of a sunglasses.,sunglasses,836
a photo of a sunglasses.,sunglasses,837
a photo of a sunscreen.,sunscreen,838
a photo of a suspension bridge.,suspension bridge,839
a photo of a mop.,mop,840
a photo of a sweatshirt.,sweatshirt,841
a photo of a swim trunks / shorts.,swim trunks / shorts,842
a photo of a swing.,swing,843
a photo of a electrical switch.,electrical switch,844
a photo of a syringe.,syringe,845
a photo of a table lamp.,table lamp,846
a photo of a tank.,tank,847
a photo of a tape player.,tape player,848
a photo of a teapot.,teapot,849
a photo of a teddy bear.,teddy bear,850
a photo of a television.,television,851
a photo of a tennis ball.,tennis ball,852
a photo of a thatched roof.,thatched roof,853
a photo of a front curtain.,front curtain,854
a photo of a thimble.,thimble,855
a photo of a threshing machine.,threshing machine,856
a photo of a throne.,throne,857
a photo of a tile roof.,tile roof,858
a photo of a toaster.,toaster,859
a photo of a tobacco shop.,tobacco shop,860
a photo of a toilet seat.,toilet seat,861
a photo of a torch.,torch,862
a photo of a totem pole.,totem pole,863
a photo of a tow truck.,tow truck,864
a photo of a toy store.,toy store,865
a photo of a tractor.,tractor,866
a photo of a semi-trailer truck.,semi-trailer truck,867
a photo of a tray.,tray,868
a photo of a trench coat.,trench coat,869
a photo of a tricycle.,tricycle,870
a photo of a trimaran.,trimaran,871
a photo of a tripod.,tripod,872
a photo of a triumphal arch.,triumphal arch,873
a photo of a trolleybus.,trolleybus,874
a photo of a trombone.,trombone,875
a photo of a hot tub.,hot tub,876
a photo of a turnstile.,turnstile,877
a photo of a typewriter keyboard.,typewriter keyboard,878
a photo of a umbrella.,umbrella,879
a photo of a unicycle.,unicycle,880
a photo of a upright piano.,upright piano,881
a photo of a vacuum cleaner.,vacuum cleaner,882
a photo of a vase.,vase,883
a photo of a vaulted or arched ceiling.,vaulted or arched ceiling,884
a photo of a velvet fabric.,velvet fabric,885
a photo of a vending machine.,vending machine,886
a photo of a vestment.,vestment,887
a photo of a viaduct.,viaduct,888
a photo of a violin.,violin,889
a photo of a volleyball.,volleyball,890
a photo of a waffle iron.,waffle iron,891
a photo of a wall clock.,wall clock,892
a photo of a wallet.,wallet,893
a photo of a wardrobe.,wardrobe,894
a photo of a military aircraft.,military aircraft,895
a photo of a sink.,sink,896
a photo of a washing machine.,washing machine,897
a photo of a water bottle.,water bottle,898
a photo of a water jug.,water jug,899
a photo of a water tower.,water tower,900
a photo of a whiskey jug.,whiskey jug,901
a photo of a whistle.,whistle,902
a photo of a hair wig.,hair wig,903
a photo of a window screen.,window screen,904
a photo of a window shade.,window shade,905
a photo of a Windsor tie.,Windsor tie,906
a photo of a wine bottle.,wine bottle,907
a photo of a airplane wing.,airplane wing,908
a photo of a wok.,wok,909
a photo of a wooden spoon.,wooden spoon,910
a photo of a wool.,wool,911
a photo of a split-rail fence.,split-rail fence,912
a photo of a shipwreck.,shipwreck,913
a photo of a sailboat.,sailboat,914
a photo of a yurt.,yurt,915
a photo of a website.,website,916
a photo of a comic book.,comic book,917
a photo of a crossword.,crossword,918
a photo of a traffic or street sign.,traffic or street sign,919
a photo of a traffic light.,traffic light,920
a photo of a dust jacket.,dust jacket,921
a photo of a menu.,menu,922
a photo of a plate.,plate,923
a photo of a guacamole.,guacamole,924
a photo of a consomme.,consomme,925
a photo of a hot pot.,hot pot,926
a photo of a trifle.,trifle,927
a photo of a ice cream.,ice cream,928
a photo of a popsicle.,popsicle,929
a photo of a baguette.,baguette,930
a photo of a bagel.,bagel,931
a photo of a pretzel.,pretzel,932
a photo of a cheeseburger.,cheeseburger,933
a photo of a hot dog.,hot dog,934
a photo of a mashed potatoes.,mashed potatoes,935
a photo of a cabbage.,cabbage,936
a photo of a broccoli.,broccoli,937
a photo of a cauliflower.,cauliflower,938
a photo of a zucchini.,zucchini,939
a photo of a spaghetti squash.,spaghetti squash,940
a photo of a acorn squash.,acorn squash,941
a photo of a butternut squash.,butternut squash,942
a photo of a cucumber.,cucumber,943
a photo of a artichoke.,artichoke,944
a photo of a bell pepper.,bell pepper,945
a photo of a cardoon.,cardoon,946
a photo of a mushroom.,mushroom,947
a photo of a Granny Smith apple.,Granny Smith apple,948
a photo of a strawberry.,strawberry,949
a photo of a orange.,orange,950
a photo of a lemon.,lemon,951
a photo of a fig.,fig,952
a photo of a pineapple.,pineapple,953
a photo of a banana.,banana,954
a photo of a jackfruit.,jackfruit,955
a photo of a cherimoya (custard apple).,cherimoya (custard apple),956
a photo of a pomegranate.,pomegranate,957
a photo of a hay.,hay,958
a photo of a carbonara.,carbonara,959
a photo of a chocolate syrup.,chocolate syrup,960
a photo of a dough.,dough,961
a photo of a meatloaf.,meatloaf,962
a photo of a pizza.,pizza,963
a photo of a pot pie.,pot pie,964
a photo of a burrito.,burrito,965
a photo of a red wine.,red wine,966
a photo of a espresso.,espresso,967
a photo of a tea cup.,tea cup,968
a photo of a eggnog.,eggnog,969
a photo of a mountain.,mountain,970
a photo of a bubble.,bubble,971
a photo of a cliff.,cliff,972
a photo of a coral reef.,coral reef,973
a photo of a geyser.,geyser,974
a photo of a lakeshore.,lakeshore,975
a photo of a promontory.,promontory,976
a photo of a sandbar.,sandbar,977
a photo of a beach.,beach,978
a photo of a valley.,valley,979
a photo of a volcano.,volcano,980
a photo of a baseball player.,baseball player,981
a photo of a bridegroom.,bridegroom,982
a photo of a scuba diver.,scuba diver,983
a photo of a rapeseed.,rapeseed,984
a photo of a daisy.,daisy,985
a photo of a yellow lady's slipper.,yellow lady's slipper,986
a photo of a corn.,corn,987
a photo of a acorn.,acorn,988
a photo of a rose hip.,rose hip,989
a photo of a horse chestnut seed.,horse chestnut seed,990
a photo of a coral fungus.,coral fungus,991
a photo of a agaric.,agaric,992
a photo of a gyromitra.,gyromitra,993
a photo of a stinkhorn mushroom.,stinkhorn mushroom,994
a photo of a earth star fungus.,earth star fungus,995
a photo of a hen of the woods mushroom.,hen of the woods mushroom,996
a photo of a bolete.,bolete,997
a photo of a corn cob.,corn cob,998
a photo of a toilet paper.,toilet paper,999
